"exercise_slug","exercise_name","workout_location","muscle_category","equipment_groups"
"banded-bent-over-row-neutral-grip-unilateral","Banded Bent-Over Row — Neutral Grip, Unilateral","home","Back","{'groups': [['resistance-band']]}"
"banded-bent-over-row-neutral-grip","Banded Bent-Over Row — Neutral Grip","home","Back","{'groups': [['resistance-band']]}"
"banded-bent-over-row-overhand-grip-alternating-tempo-ecc-x-s","Banded Bent-Over Row — Overhand Grip, Alternating, Tempo (Ecc.) X S","home","Back","{'groups': [['resistance-band']]}"
"banded-bent-over-row-overhand-grip-alternating","Banded Bent-Over Row — Overhand Grip, Alternating","home","Back","{'groups': [['resistance-band']]}"
"banded-bent-over-row-overhand-grip-tempo-ecc-x-s","Banded Bent-Over Row — Overhand Grip, Tempo (Ecc.) X S","home","Back","{'groups': [['resistance-band']]}"
"banded-bent-over-row-overhand-grip-unilateral-tempo-ecc-x-s","Banded Bent-Over Row — Overhand Grip, Unilateral, Tempo (Ecc.) X S","home","Back","{'groups': [['resistance-band']]}"
"banded-bent-over-row-overhand-grip-unilateral","Banded Bent-Over Row — Overhand Grip, Unilateral","home","Back","{'groups': [['resistance-band']]}"
"banded-bent-over-row-overhand-grip","Banded Bent-Over Row — Overhand Grip","home","Back","{'groups': [['resistance-band']]}"
"banded-bent-over-row-underhand-grip-alternating-tempo-ecc-x-s","Banded Bent-Over Row — Underhand Grip, Alternating, Tempo (Ecc.) X S","home","Back","{'groups': [['resistance-band']]}"
"banded-bent-over-row-underhand-grip-alternating","Banded Bent-Over Row — Underhand Grip, Alternating","home","Back","{'groups': [['resistance-band']]}"
"banded-bent-over-row-underhand-grip-tempo-ecc-x-s","Banded Bent-Over Row — Underhand Grip, Tempo (Ecc.) X S","home","Back","{'groups': [['resistance-band']]}"
"banded-bent-over-row-underhand-grip-unilateral-tempo-ecc-x-s","Banded Bent-Over Row — Underhand Grip, Unilateral, Tempo (Ecc.) X S","home","Back","{'groups': [['resistance-band']]}"
"banded-bent-over-row-underhand-grip-unilateral","Banded Bent-Over Row — Underhand Grip, Unilateral","home","Back","{'groups': [['resistance-band']]}"
"banded-bent-over-row-underhand-grip","Banded Bent-Over Row — Underhand Grip","home","Back","{'groups': [['resistance-band']]}"
"prone-row-db-or-kb-neutral-grip-tempo-ecc","Prone Row (Db Or Kb) — Neutral Grip, Tempo (Ecc.)","home","Back","{'groups': [['dumbbells', 'kettlebells'], ['bench']]}"
"prone-row-db-or-kb-neutral-grip","Prone Row (Db Or Kb) — Neutral Grip","home","Back","{'groups': [['dumbbells', 'kettlebells'], ['bench']]}"
"prone-row-db-or-kb-overhand-grip-tempo-ecc","Prone Row (Db Or Kb) — Overhand Grip, Tempo (Ecc.)","home","Back","{'groups': [['dumbbells', 'kettlebells'], ['bench']]}"
"prone-row-db-or-kb-overhand-grip","Prone Row (Db Or Kb) — Overhand Grip","home","Back","{'groups': [['dumbbells', 'kettlebells'], ['bench']]}"
"prone-row-db-or-kb-underhand-grip-tempo-ecc","Prone Row (Db Or Kb) — Underhand Grip, Tempo (Ecc.)","home","Back","{'groups': [['dumbbells', 'kettlebells'], ['bench']]}"
"prone-row-db-or-kb-underhand-grip","Prone Row (Db Or Kb) — Underhand Grip","home","Back","{'groups': [['dumbbells', 'kettlebells'], ['bench']]}"
"single-arm-face-pull","Single-Arm Face Pull","home","Back","{'groups': [['suspension-trainer']]}"
"trx-face-pulls","Trx Face Pulls","home","Back","{'groups': [['suspension-trainer']]}"
"trx-row-grip-from-pronation-to-neutral","Trx Row — Grip From Pronation To Neutral","home","Back","{'groups': [['suspension-trainer']]}"
"trx-row-high-row-overhand-grip","Trx Row — High Row, Overhand Grip","home","Back","{'groups': [['suspension-trainer']]}"
"trx-row-neutral-grip","Trx Row — Neutral Grip","home","Back","{'groups': [['suspension-trainer']]}"
"trx-row-overhand-grip","Trx Row — Overhand Grip","home","Back","{'groups': [['suspension-trainer']]}"
"trx-row-underhand-grip","Trx Row — Underhand Grip","home","Back","{'groups': [['suspension-trainer']]}"
"trx-scarecrows","Trx Scarecrows","home","Back","{'groups': [['suspension-trainer']]}"
"unilateral-prone-row-db-or-kb-neutral-grip-tempo-ecc","Unilateral Prone Row (Db Or Kb) — Neutral Grip, Tempo (Ecc.)","home","Back","{'groups': [['dumbbells', 'kettlebells'], ['bench']]}"
"unilateral-prone-row-db-or-kb-neutral-grip","Unilateral Prone Row (Db Or Kb) — Neutral Grip","home","Back","{'groups': [['dumbbells', 'kettlebells'], ['bench']]}"
"unilateral-prone-row-db-or-kb-overhand-grip-tempo-ecc","Unilateral Prone Row (Db Or Kb) — Overhand Grip, Tempo (Ecc.)","home","Back","{'groups': [['dumbbells', 'kettlebells'], ['bench']]}"
"unilateral-prone-row-db-or-kb-overhand-grip","Unilateral Prone Row (Db Or Kb) — Overhand Grip","home","Back","{'groups': [['dumbbells', 'kettlebells'], ['bench']]}"
"unilateral-prone-row-db-or-kb-underhand-grip-tempo-ecc","Unilateral Prone Row (Db Or Kb) — Underhand Grip, Tempo (Ecc.)","home","Back","{'groups': [['dumbbells', 'kettlebells'], ['bench']]}"
"unilateral-prone-row-db-or-kb-underhand-grip","Unilateral Prone Row (Db Or Kb) — Underhand Grip","home","Back","{'groups': [['dumbbells', 'kettlebells'], ['bench']]}"
"bent-over-row-db-or-kb-underhand-grip-unilateral-tempo-ecc-x-s","Bent-Over Row (Db Or Kb) — Underhand Grip, Unilateral, Tempo (Ecc.) X S","home","Back","{'groups': [['dumbbells', 'kettlebells'], ['bench']]}"
"bent-over-y-raise-db","Bent-Over Y-Raise (Db)","home","Back","{'groups': [['dumbbell']]}"
"trx-alligators","Trx Alligators","home","Back","{'groups': [['suspension-trainer']]}"
"trx-swimmers-pull","Trx Swimmer’S Pull","home","Back","{'groups': [['suspension-trainer']]}"
"trx-y-raise","Trx Y-Raise","home","Back","{'groups': [['suspension-trainer']]}"
"prone-y-raise-db","Prone Y-Raise (Db)","home","Back","{'groups': [['dumbbells'], ['bench']]}"
"banded-bent-over-y-raise","Banded Bent-Over Y-Raise","home","Back","{'groups': [['resistance-band']]}"
"prone-y-raise","Prone Y-Raise","home","Back","{'groups': [['dumbbell']]}"
"side-lying-external-rotation-rotator-cuff","Side-Lying External Rotation (Rotator Cuff)","home","Back","{'groups': [['dumbbell']]}"
"banded-bent-over-reverse-fly","Banded Bent-Over Reverse Fly","home","Back","{'groups': [['resistance-band']]}"
"prone-reverse-fly-db","Prone Reverse Fly (Db)","home","Back","{'groups': [['dumbbells', 'kettlebells'], ['bench']]}"
"prone-back-extensions","Prone Back Extensions","home","Back","{'groups': [['body-weight']]}"
"bowlers-squat","Bowler’S Squat","home","Legs","{'groups': [['body-weight']]}"
"db-bowlers-squat","Db Bowler’S Squat","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"db-glute-bridge-legs-elevated","Db Glute Bridge — Legs Elevated","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"db-glute-bridge","Db Glute Bridge","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"db-lunges-alternating-step-back","Db Lunges — Alternating Step Back","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"db-lunges-alternating-step-forward","Db Lunges — Alternating Step Forward","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"db-lunges-back","Db Lunges — Back","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"db-lunges-step-back-tempo-ecc-x-s","Db Lunges — Step Back — Tempo (Ecc.) X S","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"db-lunges-step-forward-tempo-ecc-x-s","Db Lunges — Step Forward — Tempo (Ecc.) X S","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"db-lunges-step-forward-with-pulse","Db Lunges — Step Forward With Pulse","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"db-lunges-step-forward","Db Lunges — Step Forward","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"db-pistol-squat","Db Pistol Squat","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"db-side-squat-alternating","Db Side Squat — Alternating","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"db-side-squat","Db Side Squat","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"db-split-squat-tempo-ecc-x-s","Db Split Squat — Tempo (Ecc.) X S","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"db-split-squat-tempo-x-s","Db Split Squat — Tempo X S","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"db-split-squat-with-pulse","Db Split Squat With Pulse","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"db-walking-lunges","Db Walking Lunges","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"front-squat-tempo-ecc-x-s","Front Squat — Tempo (Ecc.) X S","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"front-squat-tempo-x-s","Front Squat — Tempo X S","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"front-squat-with-pulse","Front Squat With Pulse","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"front-squat","Front Squat","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"glute-bridge-legs-elevated","Glute Bridge — Legs Elevated","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"glute-bridge-tempo-ecc-x-s","Glute Bridge Tempo (Ecc.) X S","home","Legs","{'groups': [['body-weight']]}"
"glute-bridge-tempo-x-s","Glute Bridge Tempo X S","home","Legs","{'groups': [['body-weight']]}"
"goblet-squat-tempo-ecc-x-s","Goblet Squat — Tempo (Ecc.) X S","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"goblet-squat-tempo-x-s","Goblet Squat — Tempo X S","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"goblet-squat-with-pulse","Goblet Squat With Pulse","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"goblet-squat","Goblet Squat","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"lunges-alternating-step-back","Lunges — Alternating Step Back","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"lunges-alternating-step-forward","Lunges — Alternating Step Forward","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"lunges-step-back-tempo-ecc-x-s","Lunges — Step Back — Tempo (Ecc.) X S","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"lunges-step-back-with-pulse","Lunges — Step Back With Pulse","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"lunges-step-back","Lunges — Step Back","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"lunges-step-forward-tempo-ecc-x-s","Lunges — Step Forward — Tempo (Ecc.) X S","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"lunges-step-forward-with-pulse","Lunges — Step Forward With Pulse","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"lunges-step-forward","Lunges — Step Forward","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"pistol-squat","Pistol Squat","home","Legs","{'groups': [['body-weight']]}"
"plyometric-split-squat","Plyometric Split Squat","home","Legs","{'groups': [['body-weight']]}"
"prisoner-squat-tempo-ecc-x-s","Prisoner Squat — Tempo (Ecc.) X S","home","Legs","{'groups': [['body-weight']]}"
"prisoner-squat-tempo-x-s","Prisoner Squat — Tempo X S","home","Legs","{'groups': [['body-weight']]}"
"prisoner-squat-with-pulse","Prisoner Squat With Pulse","home","Legs","{'groups': [['body-weight']]}"
"prisoner-squat","Prisoner Squat","home","Legs","{'groups': [['body-weight']]}"
"side-squat-alternating","Side Squat — Alternating","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"split-squat-tempo-ecc-x-s","Split Squat — Tempo (Ecc.) X S","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"split-squat-tempo-x-s","Split Squat — Tempo X S","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"split-squat-db","Split Squat Db","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"split-squat-with-pulse","Split Squat With Pulse","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"split-squat","Split Squat","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"squat-jumps","Squat Jumps","home","Legs","{'groups': [['body-weight']]}"
"walking-lunges-hands-behind-head","Walking Lunges — Hands Behind Head","home","Legs","{'groups': [['body-weight']]}"
"walking-lunges-with-pulse","Walking Lunges With Pulse","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"walking-lunges","Walking Lunges","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"assisted-pistol-squat-tempo-ecc","Assisted Pistol Squat — Tempo (Ecc.)","home","Legs","{'groups': [['suspension-trainer']]}"
"assisted-pistol-squat","Assisted Pistol Squat","home","Legs","{'groups': [['suspension-trainer']]}"
"assisted-split-squat-tempo-ecc","Assisted Split Squat — Tempo (Ecc.)","home","Legs","{'groups': [['suspension-trainer']]}"
"assisted-split-squat-tempo","Assisted Split Squat — Tempo","home","Legs","{'groups': [['suspension-trainer']]}"
"assisted-split-squat-db","Assisted Split Squat Db","home","Legs","{'groups': [['suspension-trainer']]}"
"assisted-squat-tempo-ecc","Assisted Squat — Tempo (Ecc.)","home","Legs","{'groups': [['suspension-trainer']]}"
"assisted-squat-tempo","Assisted Squat — Tempo","home","Legs","{'groups': [['suspension-trainer']]}"
"assisted-squat-with-pulse","Assisted Squat With Pulse","home","Legs","{'groups': [['suspension-trainer']]}"
"assisted-squat","Assisted Squat","home","Legs","{'groups': [['suspension-trainer']]}"
"glute-bridge","Glute Bridge","home","Legs","{'groups': [['body-weight']]}"
"hip-thrust-dbkb-optional","Hip Thrust (Db·Kb Optional)","home","Legs","{'groups': [['dumbbells', 'kettlebells'], ['bench']]}"
"side-slide-to-squat-towel-or-sliders","Side Slide To Squat (Towel Or Sliders)","home","Legs","{'groups': [['sliders', 'towel']]}"
"side-squat","Side Squat","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"step-up-dbkb","Step-Up (Db–Kb)","home","Legs","{'groups': [['dumbbells', 'kettlebells'], ['chair', 'bench']]}"
"walking-lunges-with-pulse","Walking Lunges With Pulse","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"box-squat-dbkb-tempo-ecc-x-s","Box Squat (Db–Kb) — Tempo (Ecc.) X S","home","Legs","{'groups': [['dumbbells', 'kettlebells'], ['chair', 'bench']]}"
"box-squat-dbkb-tempo-x-s","Box Squat (Db–Kb) — Tempo X S","home","Legs","{'groups': [['dumbbells', 'kettlebells'], ['chair', 'bench']]}"
"box-squat-dbkb","Box Squat (Db–Kb)","home","Legs","{'groups': [['dumbbells', 'kettlebells'], ['chair', 'bench']]}"
"glute-bridge-legs-elevated-db-kb-optional","Glute Bridge — Legs Elevated (Db-Kb Optional)","home","Legs","{'groups': [['dumbbells', 'kettlebells'], ['chair', 'bench']]}"
"db-step-back-with-pulse","Db Step Back With Pulse","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"step-down-dbkb-leg-back","Step-Down (Db–Kb) — Leg Back","home","Legs","{'groups': [['dumbbells', 'kettlebells'], ['chair', 'bench']]}"
"step-down-dbkb-leg-in-front","Step-Down (Db–Kb) — Leg In Front","home","Legs","{'groups': [['dumbbells', 'kettlebells'], ['chair', 'bench']]}"
"banded-pull-through","Banded Pull-Through","home","Legs","{'groups': [['resistance-band']]}"
"walking-hip-abductions","Walking Hip Abductions","home","Legs","{'groups': [['resistance-band']]}"
"kettlebell-swings","Kettlebell Swings","home","Legs","{'groups': [['kettlebell']]}"
"banded-leg-raise-with-abduction","Banded Leg Raise With Abduction","home","Legs","{'groups': [['resistance-band']]}"
"copenhagen-plank","Copenhagen Plank","home","Legs","{'groups': [['chair', 'bench']]}"
"box-squat-dbkb-unilateral-alternating","Box Squat (Db–Kb) — Unilateral, Alternating","home","Legs","{'groups': [['dumbbells', 'kettlebells'], ['chair', 'bench']]}"
"box-squat-dbkb-unilateral-tempo-ecc-x-s","Box Squat (Db–Kb) — Unilateral, Tempo (Ecc.) X S","home","Legs","{'groups': [['dumbbells', 'kettlebells'], ['chair', 'bench']]}"
"box-squat-dbkb-unilateral","Box Squat (Db–Kb) — Unilateral","home","Legs","{'groups': [['dumbbells', 'kettlebells'], ['chair', 'bench']]}"
"glute-bridge-unilateral-legs-elevated-db-kb-optional","Glute Bridge — Unilateral, Legs Elevated (Db-Kb Optional)","home","Legs","{'groups': [['dumbbells', 'kettlebells'], ['chair', 'bench']]}"
"glute-bridge-unilateral-legs-elevated-tempo-ecc-db-kb-optional","Glute Bridge — Unilateral, Legs Elevated, Tempo (Ecc.) (Db-Kb Optional)","home","Legs","{'groups': [['dumbbells', 'kettlebells'], ['chair', 'bench']]}"
"glute-bridge-unilateral-tempo-ecc","Glute Bridge — Unilateral, Tempo (Ecc.)","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"glute-bridge-unilateral-tempo","Glute Bridge — Unilateral, Tempo","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"glute-bridge-unilateral","Glute Bridge — Unilateral","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"glute-bridge-unilateral-legs-elevated-tempo-db-kb-optional","Glute Bridge — Unilateral, Legs Elevated, Tempo (Db-Kb Optional)","home","Legs","{'groups': [['dumbbells', 'kettlebells'], ['chair', 'bench']]}"
"glute-bridge-unilateral-legs-elevated","Glute Bridge — Unilateral, Legs Elevated ","home","Legs","{'groups': [['dumbbells', 'kettlebells'], ['chair', 'bench']]}"
"lateral-step-up-dbkb","Lateral Step-Up (Db·Kb)","home","Legs","{'groups': [['dumbbells', 'kettlebells'], ['chair', 'bench']]}"
"db-glute-bridge-unilateral-legs-elevated","Db Glute Bridge — Unilateral, Legs Elevated","home","Legs","{'groups': [['dumbbells', 'kettlebells'], ['chair', 'bench']]}"
"db-glute-bridge-unilateral-tempo-ecc","Db Glute Bridge — Unilateral, Tempo (Ecc.)","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"db-glute-bridge-unilateral-tempo","Db Glute Bridge — Unilateral, Tempo","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"db-glute-bridge-unilateral","Db Glute Bridge — Unilateral","home","Legs","{'groups': [['dumbbells', 'kettlebells']]}"
"hip-thrust-unilateral-dbkb-optional","Hip Thrust — Unilateral (Db·Kb Optional)","home","Legs","{'groups': [['dumbbells', 'kettlebells'], ['chair', 'bench']]}"
"supine-leg-curls-unilateral-ecc-towel-or-sliders","Supine Leg Curls Unilateral Ecc. (Towel Or Sliders)","home","Legs","{'groups': [['sliders', 'towel']]}"
"supine-leg-curls-with-towel-or-sliders","Supine Leg Curls With Towel Or Sliders","home","Legs","{'groups': [['sliders', 'towel']]}"
"bicycle-crunch","Bicycle Crunch","home","Core","{'groups': [['body-weight']]}"
"core-twists-kb-or-db","Core Twists (Kb Or Db)","home","Core","{'groups': [['dumbbells', 'kettlebells']]}"
"crunches-kb-or-db","Crunches (Kb Or Db)","home","Core","{'groups': [['dumbbells', 'kettlebells']]}"
"dead-bug-kb-or-db","Dead Bug (Kb Or Db)","home","Core","{'groups': [['dumbbells', 'kettlebells']]}"
"elbow-to-knee-crunch","Elbow-To-Knee Crunch","home","Core","{'groups': [['body-weight']]}"
"north-to-south-plank-kb-or-db","North-To-South Plank (Kb Or Db)","home","Core","{'groups': [['dumbbells', 'kettlebells']]}"
"oblique-crunch","Oblique Crunch","home","Core","{'groups': [['body-weight']]}"
"plank-pull-throughs-kettlebell-or-db","Plank Pull-Throughs (Kettlebell Or Db)","home","Core","{'groups': [['dumbbells', 'kettlebells']]}"
"plank-rockers","Plank Rockers","home","Core","{'groups': [['body-weight']]}"
"plank-to-triceps-extension","Plank To Triceps Extension","home","Core","{'groups': [['body-weight']]}"
"raised-legs-crunches","Raised-Legs Crunches","home","Core","{'groups': [['body-weight']]}"
"reverse-crunches","Reverse Crunches","home","Core","{'groups': [['body-weight']]}"
"russian-twist-kb-or-db","Russian Twist (Kb Or Db)","home","Core","{'groups': [['dumbbells', 'kettlebells']]}"
"side-v-ups","Side V-Ups","home","Core","{'groups': [['body-weight']]}"
"sit-ups-kb-or-db","Sit-Ups (Kb Or Db)","home","Core","{'groups': [['dumbbells', 'kettlebells']]}"
"sit-ups","Sit-Ups","home","Core","{'groups': [['body-weight']]}"
"starfish-crunch","Starfish Crunch","home","Core","{'groups': [['body-weight']]}"
"v-ups-kb-or-db","V-Ups (Kb Or Db)","home","Core","{'groups': [['dumbbells', 'kettlebells']]}"
"v-ups","V-Ups","home","Core","{'groups': [['body-weight']]}"
"around-the-world-planks","Around-The-World Planks","home","Core","{'groups': [['body-weight']]}"
